图片名,分辨率1,分辨率2,相似性检验结果
SmogenSweden_ZH-CN0457682922,768x1280,320x240,0.0463454
SmogenSweden_ZH-CN0457682922,768x1280,240x320,0.809752
GoldRushYukon_ZH-CN6132080652,768x1280,1920x1080,0.955356
GoldRushYukon_ZH-CN6132080652,768x1280,1366x768,0.953785
GoldRushYukon_ZH-CN6132080652,768x1280,1280x768,0.968181
GoldRushYukon_ZH-CN6132080652,768x1280,1024x768,0.968442
GoldRushYukon_ZH-CN6132080652,768x1280,800x600,0.97093
GoldRushYukon_ZH-CN6132080652,768x1280,800x480,0.969043
GoldRushYukon_ZH-CN6132080652,768x1280,768x1280,1
GoldRushYukon_ZH-CN6132080652,768x1280,720x1280,0.999054
GoldRushYukon_ZH-CN6132080652,768x1280,640x480,0.973289
GoldRushYukon_ZH-CN6132080652,768x1280,480x800,0.99047
GoldRushYukon_ZH-CN6132080652,768x1280,400x240,0.972941
GoldRushYukon_ZH-CN6132080652,768x1280,320x240,0.973045
GoldRushYukon_ZH-CN6132080652,768x1280,240x320,0.977665
DrinkingNectar_ZH-CN6196689688,768x1280,1920x1080,0.791592
DrinkingNectar_ZH-CN6196689688,768x1280,1366x768,0.773049
DrinkingNectar_ZH-CN6196689688,768x1280,1280x768,0.786884
DrinkingNectar_ZH-CN6196689688,768x1280,1024x768,0.853875
DrinkingNectar_ZH-CN6196689688,768x1280,800x600,0.842732
DrinkingNectar_ZH-CN6196689688,768x1280,800x480,0.778543
DrinkingNectar_ZH-CN6196689688,768x1280,768x1280,1
DrinkingNectar_ZH-CN6196689688,768x1280,720x1280,0.997517
DrinkingNectar_ZH-CN6196689688,768x1280,640x480,0.842715
DrinkingNectar_ZH-CN6196689688,768x1280,480x800,0.960095
DrinkingNectar_ZH-CN6196689688,768x1280,400x240,0.77988
DrinkingNectar_ZH-CN6196689688,768x1280,320x240,0.822025
DrinkingNectar_ZH-CN6196689688,768x1280,240x320,0.907148
MagdalenCave_ZH-CN6279630125,768x1280,1920x1080,0.826848
MagdalenCave_ZH-CN6279630125,768x1280,1366x768,0.783662
MagdalenCave_ZH-CN6279630125,768x1280,1280x768,0.852735
